,algorithm,mse train,mse val,init zero,iterations,time,lr method,lr,b,model
0,closed-form,1.060229826117505,0.9831859696254968,,,0.007421016693115234,,,,default_top60
0,closed-form,1.0468329117783814,0.9895357003238057,,,0.028902053833007812,,,,default_top160
9,gradient,1.0607305932471822,0.9928918104451402,1.0,1000.0,3.7846319675445557,Momentum,0.01,0.999,default_top160
8,gradient,1.0607302912689582,0.9928922866305576,1.0,1000.0,3.8252899646759033,Momentum,0.01,0.9,default_top160
7,gradient,1.0607299863028914,0.9928927676048084,1.0,1000.0,3.851848840713501,Momentum,0.01,0.8,default_top160
6,gradient,1.0607296813995588,0.9928932485577997,1.0,1000.0,3.901607036590576,Momentum,0.01,0.7,default_top160
1,gradient,1.0607275488309842,0.9928966146307043,1.0,1000.0,3.7372968196868896,LearningRate,0.01,,default_top160
4,gradient,1.0612764175354388,0.9933249722775704,1.0,1000.0,4.4423418045043945,Decay,0.01,0.0001,default_top160
5,gradient,1.0632223159186367,0.9949990101022299,1.0,1000.0,4.430588245391846,Decay,0.01,0.0005,default_top160
0,closed-form,1.0375588026545317,0.9954419763670966,,,0.0020301342010498047,,,,most_important_features
9,gradient,1.0652731370752613,0.9972600415891946,1.0,1000.0,3.9409191608428955,Momentum,0.01,0.999,default_noroot
8,gradient,1.0652731176024848,0.9972607922114637,1.0,1000.0,3.9799859523773193,Momentum,0.01,0.9,default_noroot
7,gradient,1.0652730979816367,0.9972615503846141,1.0,1000.0,4.240010976791382,Momentum,0.01,0.8,default_noroot
6,gradient,1.0652730784096356,0.9972623085264145,1.0,1000.0,5.38575005531311,Momentum,0.01,0.7,default_noroot
1,gradient,1.065272942771588,0.9972676146386087,1.0,1000.0,4.20185399055481,LearningRate,0.01,,default_noroot
4,gradient,1.065644436675072,0.9975138146412788,1.0,1000.0,4.734307050704956,Decay,0.01,0.0001,default_noroot
9,gradient,1.0700568069327063,0.9982206198474901,1.0,1000.0,0.7553768157958984,Momentum,0.01,0.999,default_top60
8,gradient,1.0700566631028594,0.9982207068520729,1.0,1000.0,0.805351972579956,Momentum,0.01,0.9,default_top60
7,gradient,1.0700565178840766,0.9982207947939649,1.0,1000.0,0.8576951026916504,Momentum,0.01,0.8,default_top60
6,gradient,1.0700563727294825,0.9982208827945661,1.0,1000.0,0.8205320835113525,Momentum,0.01,0.7,default_top60
1,gradient,1.0700553584426047,0.9982215004376367,1.0,1000.0,0.8701610565185547,LearningRate,0.01,,default_top60
5,gradient,1.067027859573962,0.9986148028925637,1.0,1000.0,4.099797964096069,Decay,0.01,0.0005,default_noroot
4,gradient,1.0704078171029048,0.9987389814863659,1.0,1000.0,0.9060652256011963,Decay,0.01,0.0001,default_top60
5,gradient,1.0716837258550627,1.0006136398699577,1.0,1000.0,0.759570837020874,Decay,0.01,0.0005,default_top60
0,closed-form,1.024183574859494,1.000776824818799,,,0.01339578628540039,,,,square
8,gradient,1.067754269820105,1.0014965917191947,True,1000,4.866575002670288,Momentum,0.01,0.999,default_tfidf
7,gradient,1.0677538990796243,1.0014970376864312,True,1000,4.039459943771362,Momentum,0.01,0.9,default_tfidf
6,gradient,1.067753524695228,1.0014974882207568,True,1000,4.754065036773682,Momentum,0.01,0.8,default_tfidf
