,algorithm,mse train,mse val,init zero,iterations,time,lr method,lr,b,model
0,closed-form,1.060229826117505,0.9831859696254968,,,0.007421016693115234,,,,default_top60
0,closed-form,1.0468329117783814,0.9895357003238057,,,0.028902053833007812,,,,default_top160
9,gradient,1.0607305932471822,0.9928918104451402,1.0,1000.0,3.7846319675445557,Momentum,0.01,0.999,default_top160
8,gradient,1.0607302912689582,0.9928922866305576,1.0,1000.0,3.8252899646759033,Momentum,0.01,0.9,default_top160
7,gradient,1.0607299863028914,0.9928927676048084,1.0,1000.0,3.851848840713501,Momentum,0.01,0.8,default_top160
6,gradient,1.0607296813995588,0.9928932485577997,1.0,1000.0,3.901607036590576,Momentum,0.01,0.7,default_top160
1,gradient,1.0607275488309842,0.9928966146307043,1.0,1000.0,3.7372968196868896,LearningRate,0.01,,default_top160
4,gradient,1.0612764175354388,0.9933249722775704,1.0,1000.0,4.4423418045043945,Decay,0.01,0.0001,default_top160
5,gradient,1.0632223159186367,0.9949990101022299,1.0,1000.0,4.430588245391846,Decay,0.01,0.0005,default_top160
9,gradient,1.0700568069327063,0.9982206198474901,1.0,1000.0,0.7553768157958984,Momentum,0.01,0.999,default_top60
8,gradient,1.0700566631028594,0.9982207068520729,1.0,1000.0,0.805351972579956,Momentum,0.01,0.9,default_top60
7,gradient,1.0700565178840766,0.9982207947939649,1.0,1000.0,0.8576951026916504,Momentum,0.01,0.8,default_top60
6,gradient,1.0700563727294825,0.9982208827945661,1.0,1000.0,0.8205320835113525,Momentum,0.01,0.7,default_top60
1,gradient,1.0700553584426047,0.9982215004376367,1.0,1000.0,0.8701610565185547,LearningRate,0.01,,default_top60
4,gradient,1.0704078171029048,0.9987389814863659,1.0,1000.0,0.9060652256011963,Decay,0.01,0.0001,default_top60
5,gradient,1.0716837258550627,1.0006136398699577,1.0,1000.0,0.759570837020874,Decay,0.01,0.0005,default_top60
62,gradient,1.0958314514113876,1.0203217958995583,0.0,1000.0,0.8219430446624756,Momentum,0.01,0.9,default_top60
0,closed-form,1.0846830709157251,1.0203266848431447,,,0.006670236587524414,,,,default_notext
55,gradient,1.0963621429071977,1.0209061442373832,0.0,1000.0,0.8524761199951172,LearningRate,0.01,,default_top60
3,gradient,1.088200195954605,1.0235825884059975,1.0,1000.0,4.035584926605225,Decay,0.01,0.01,default_top160
60,gradient,1.0917868480123618,1.0243914045491016,0.0,1000.0,0.7911770343780518,Momentum,0.01,0.7,default_top60
61,gradient,1.101885810181258,1.0249613162299354,0.0,1000.0,0.8379619121551514,Momentum,0.01,0.8,default_top60
3,gradient,1.0923547290356752,1.0279730661432505,1.0,1000.0,0.8048717975616455,Decay,0.01,0.01,default_top60
1,gradient,1.0934975423356417,1.0301696191446195,1.0,1000.0,0.15385198593139648,LearningRate,0.01,,default_notext
6,gradient,1.0934993460727669,1.0301700472597155,1.0,1000.0,0.15718913078308105,Momentum,0.01,0.7,default_notext
7,gradient,1.0934996041206764,1.0301701089340154,1.0,1000.0,0.14629602432250977,Momentum,0.01,0.8,default_notext
8,gradient,1.093499862261368,1.0301701707374087,1.0,1000.0,0.15707802772521973,Momentum,0.01,0.9,default_notext
9,gradient,1.0935001179120434,1.0301702320500423,1.0,1000.0,0.1421351432800293,Momentum,0.01,0.999,default_notext
